STT,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Atmospheric pressure(hPa},InnerTemp(oC},,,,,
10528,20:00 08/04/2025,6.645,5.8608,23.3842,72.4658,41.1458,0.3308,7.1158,2645.3792,1012.1692,28.25,,,,,
10529,21:00 08/04/2025,13.8625,5.8683,5.2483,81.115,41.6075,3.5383,10.3233,3878.0042,1012.8192,28.4525,,,,,
10530,22:00 08/04/2025,15.5092,5.725,4.1492,91.8633,50.1108,4.665,10.8592,3732.3992,1013.3467,27.12,,,,,
10531,23:00 08/04/2025,15.4208,5.545,5.138,99.13,50.3267,4.8317,10.5883,3660.165,1013.1092,25.7692,,,,,
10532,00:00 09/04/2025,10.6783,5.1833,3.7,86.9217,47.0058,1.7725,8.9908,2515.7192,1012.8725,26.0125,,,,,
10533,01:00 09/04/2025,10.765,5.5658,2.8237,88.5392,42.7325,2.4958,8.7783,2516.0158,1012.26,27.7883,,,,,
10534,02:00 09/04/2025,4.0508,5.39,10.0892,87.8183,46.3533,0.0,5.445,1981.5267,1011.3308,28.3575,,,,,
10535,03:00 09/04/2025,2.66,5.3975,18.2733,81.72,52.8292,0.02,4.0425,1872.0125,1010.7475,28.3592,,,,,
10536,04:00 09/04/2025,5.7017,5.0983,19.4058,104.6667,55.555,0.5767,5.8692,1889.6608,1010.2167,27.2175,,,,,
10537,05:00 09/04/2025,6.2592,4.1808,22.0683,92.1633,52.2517,0.305,6.5633,1948.295,1010.1308,25.5525,,,,,
