No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Áp su?t khí quy?n(hPa},InnerTemp(oC},,,,,
1648,15:00 11/03/2024,10.3525,2.6125,44.9058,51.2733,30.5942,3.7717,6.5817,3013.6767,1017.4742,28.1975,,,,,
1649,16:00 11/03/2024,11.3925,3.7433,38.755,49.9242,36.9467,3.82,7.5742,3073.08,1016.6717,27.7067,,,,,
1650,17:00 11/03/2024,14.2592,3.665,39.2792,55.6358,32.1958,4.5233,9.7358,3296.9175,1016.3067,27.4167,,,,,
1651,18:00 11/03/2024,20.8875,2.765,25.4642,62.8083,35.9892,4.96,15.9275,3604.5267,1016.2175,27.7883,,,,,
1652,19:00 11/03/2024,27.9342,2.4175,10.5842,84.9083,52.4775,6.4783,21.4558,4124.5117,1016.3933,28.3117,,,,,
1653,20:00 11/03/2024,45.8708,2.5258,5.115,99.2292,45.4167,20.7942,25.0783,4935.0517,1016.6708,28.2942,,,,,
1654,21:00 11/03/2024,24.035,2.4108,11.3792,149.4033,59.4417,4.8708,19.1642,4479.4342,1017.3142,28.215,,,,,
1655,22:00 11/03/2024,17.3483,2.34,8.7567,165.3075,81.865,3.2308,14.1175,3426.27,1017.71,28.2625,,,,,
1656,23:00 11/03/2024,14.1375,2.3883,14.6308,157.2825,96.1617,3.4908,10.6467,3332.0,1017.9667,27.8558,,,,,
1657,00:00 12/03/2024,10.2967,3.8167,20.5417,142.1392,109.6625,3.4758,6.8208,3137.5683,1017.82,27.525,,,,,
1658,01:00 12/03/2024,10.6425,3.4675,16.5108,120.9083,96.7083,3.5117,7.1308,3122.8808,1017.2508,27.5583,,,,,
1659,02:00 12/03/2024,11.0233,3.0242,11.225,104.4792,82.1867,3.5542,7.4692,3117.1892,1016.6917,27.605,,,,,
1660,03:00 12/03/2024,14.1967,2.6242,5.0642,96.7225,78.0492,3.8583,10.3375,3142.6158,1016.2975,28.22,,,,,
1661,04:00 12/03/2024,12.2408,2.1292,5.07,95.8783,81.3917,3.5958,8.6458,3083.0558,1016.0942,28.3108,,,,,
1662,05:00 12/03/2024,11.8883,2.1175,4.195,95.0317,80.3975,3.625,8.2633,3104.0275,1016.3858,28.375,,,,,
1663,06:00 12/03/2024,13.6617,2.0508,2.9217,95.33,76.6875,4.6858,8.9775,2911.9683,1016.9183,28.3467,,,,,
1664,07:00 12/03/2024,17.1742,2.0408,2.6892,97.7033,66.7883,6.6642,10.51,3340.675,1017.655,27.9625,,,,,
1665,08:00 12/03/2024,26.8958,2.2017,3.9133,94.9983,62.4592,15.3308,11.565,3766.5442,1018.4692,27.6667,,,,,
1666,09:00 12/03/2024,29.0183,2.8942,8.9208,111.1858,65.2108,14.2775,14.7417,3915.7258,1019.1342,27.3533,,,,,
1667,10:00 12/03/2024,18.9892,4.0033,19.8817,116.9867,71.5183,5.9817,13.0092,3352.1467,1019.3342,27.21,,,,,
