STT,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Atmospheric pressure(hPa}
777,08:00 02/02/2024,97.1408,4.3625,38.0892,101.5508,57.85,64.6258,32.5142,9723.0608,1014.07
778,09:00 02/02/2024,105.0817,5.0108,38.8892,182.8217,93.4075,59.7917,45.29,10097.9408,1014.8717
779,10:00 02/02/2024,92.8808,4.4533,37.0925,245.1542,128.16,40.1525,52.7283,8666.9742,1015.2742
780,11:00 02/02/2024,81.8008,3.6658,47.415,280.8692,160.3275,19.3858,62.4158,7935.96,1014.9183
781,12:00 02/02/2024,85.5742,4.0592,78.5992,316.6475,199.9558,16.6042,68.9717,7476.625,1014.0183
782,13:00 02/02/2024,56.6908,3.9508,106.5692,332.1117,225.7242,9.2258,47.465,5468.3258,1012.9642
783,14:00 02/02/2024,26.6042,3.8708,89.6758,286.5142,211.3908,3.2567,23.3467,3163.0167,1011.6825
784,15:00 02/02/2024,26.2392,3.1358,90.0958,211.8083,166.7425,3.5925,22.6467,3253.2125,1010.665
785,16:00 02/02/2024,20.0758,3.72,74.7775,146.0133,118.0433,2.7283,17.3483,3002.8783,1010.1858
786,17:00 02/02/2024,23.2055,3.26,69.0355,99.1382,85.5073,3.7082,19.4973,3286.0027,1010.2382
